,University,Former names,Detailed_Location,Students,Undergraduates,Postgraduates,Url,Location,Established,Number of students,Tuition fee,Degree powers
0,Arden University,,"Coventry, UK",,,,https://en.wikipedia.org/wiki/Arden_University,Coventry (distance learning),2015 (1990),"8,000[7]",- (private),Taught
1,AECC University College,,"Bournemouth, Dorset, England50°43′38″N 1°49′44″W﻿ / ﻿50.72728°N 1.82876°W﻿ / 50.72728; -1.82876Coordinates: 50°43′38″N 1°49′44″W﻿ / ﻿50.72728°N 1.82876°W﻿ / 50.72728; -1.82876",,470,265,https://en.wikipedia.org/wiki/Anglo-European_College_of_Chiropractic,Bournemouth,– (1965),-,"£9,250",Taught
2,BPP University,BPP Law School (1992)BPP College of Professional Studies (2005)BPP University College of Professional Studies (2010),"Abingdon, Birmingham, Bristol, Cambridge, Leeds, Liverpool, London and Manchester, United Kingdom","16,000",,,https://en.wikipedia.org/wiki/BPP_University,"Abingdon, Birmingham, Bristol, Cambridge, Leeds, Liverpool, London, Manchester",2013 (1992),"6,780[9]",- (private),Taught
3,University College Birmingham[Note 3],,"Birmingham, United Kingdom","4,905 HE (2018/19)[1]","4,415 (2018/19)[1]",485 (2018/19)[1],https://en.wikipedia.org/wiki/University_College_Birmingham,Birmingham,2012 (1957),"4,905","£9,076[8]",Taught
4,Bishop Grosseteste University,Diocesan Training School for MistressesLincoln Diocesan Training CollegeBishop Grosseteste CollegeBishop Grosseteste University College,"Lincoln, Lincolnshire, EnglandCoordinates: 53°14′38″N 0°32′13″W﻿ / ﻿53.244°N 0.537°W﻿ / 53.244; -0.537","2,260 (2018/19)[2]","1,665 (2018/19)[2]",595 (2018/19)[2],https://en.wikipedia.org/wiki/Bishop_Grosseteste_University,Lincoln,2012 (1862),"2,260","£9,250",Taught
5,University of Bolton,,"Bolton, Greater Manchester, United KingdomCoordinates: 53°34′25″N 2°26′9″W﻿ / ﻿53.57361°N 2.43583°W﻿ / 53.57361; -2.43583","6,945 (2018/19)[4]","5,605 (2018/19)[4]","1,340 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Bolton,Bolton,2005 (1982),"6,945","£9,250",Full
6,University of Chichester,"West Sussex Institute of Higher Education (1977–1995), Chichester Institute of Higher Education (1995–1999), University College Chichester (1999–2005)","Chichester, West Sussex, UK50°50′41″N 0°46′28″W﻿ / ﻿50.844674°N 0.774429°W﻿ / 50.844674; -0.774429Coordinates: 50°50′41″N 0°46′28″W﻿ / ﻿50.844674°N 0.774429°W﻿ / 50.844674; -0.774429","5,470 (2018/19)[1]","4,375 (2018/19)[1]","1,095 (2018/19)[1]",https://en.wikipedia.org/wiki/University_of_Chichester,Chichester,2005 (1977),"5,470","£6,000–9,250",Full
7,Buckinghamshire New University,School of Science and Art (1891) Wycombe Technical Institute (1920)High Wycombe College of Technology and Art (1961)Buckinghamshire College of Higher Education (1975) Buckinghamshire Chilterns University College (1999),"High Wycombe, Buckinghamshire, England, UKCampus in Uxbridge, Middlesex England, UK","11,005 (2018/19)[1]","9,705 (2018/19)[1]","1,295 (2018/19)[1]",https://en.wikipedia.org/wiki/Buckinghamshire_New_University,"High Wycombe, Uxbridge (London)",2007 (1999),"11,005","£7,8-9,250",Taught
8,Bournemouth University,,"Poole and Bournemouth, Dorset, England50°44′36″N 1°53′49″W﻿ / ﻿50.743213°N 1.896901°W﻿ / 50.743213; -1.896901Coordinates: 50°44′36″N 1°53′49″W﻿ / ﻿50.743213°N 1.896901°W﻿ / 50.743213; -1.896901","17,880 (2018/19)[2]","14,700 (2018/19)[2]","3,175 (2018/19)[2]",https://en.wikipedia.org/wiki/Bournemouth_University,"Bournemouth, Poole",1992,"17,880","£9,250",Full
9,University of Cumbria,"Charlotte Mason College, St Martin's College, Cumbria Institute of the Arts","CarlisleLancasterAmblesideBarrow-in-FurnessWorkingtonTower Hamlets, London, England","7,595 (2018/19)[1]","5,865 (2018/19)[1]","1,730 (2018/19)[1]",https://en.wikipedia.org/wiki/University_of_Cumbria,"Ambleside, Barrow, Carlisle, Lancaster, Penrith, Tower Hamlets (London)",2007,"7,595","£9,250",Taught
10,Anglia Ruskin University,See History,"Cambridge, Chelmsford, Peterborough and London, United KingdomCoordinates: 52°12′11.1″N 0°8′1.3″E﻿ / ﻿52.203083°N 0.133694°E﻿ / 52.203083; 0.133694","24,490 (2018/19)[2]","19,630 (2018/19)[2]","4,860 (2018/19)[2]",https://en.wikipedia.org/wiki/Anglia_Ruskin_University,"Cambridge, Chelmsford, Peterborough",1992 (1858),"24,490","£9,250",Full
11,University for the Creative Arts,,"Canterbury and Rochester, KentEpsom and Farnham, Surrey, England, UK","5,934 (2015/16)","4,500 (2015/16)[2]",305 (2015/16)[2],https://en.wikipedia.org/wiki/University_for_the_Creative_Arts,"Canterbury, Epsom, Farnham, Maidstone, Rochester",2005,"6,615","£9,250",Taught
12,University College of Osteopathy,,"London, United Kingdom51°30′00″N 0°05′40″W﻿ / ﻿51.500105°N 0.094524°W﻿ / 51.500105; -0.094524Coordinates: 51°30′00″N 0°05′40″W﻿ / ﻿51.500105°N 0.094524°W﻿ / 51.500105; -0.094524",,,"1,000[3]",https://en.wikipedia.org/wiki/University_College_of_Osteopathy,London,– (1917),-,-,Taught
13,University of the Arts London,,"London, United KingdomCoordinates: 51°31′4″N 0°6′59″W﻿ / ﻿51.51778°N 0.11639°W﻿ / 51.51778; -0.11639","18,290 HE (2016/17)[2]","14,760 (2016/17)[2]","3,530 (2016/17)[2]",https://en.wikipedia.org/wiki/University_of_the_Arts_London,London,2004,"19,095","£9,250",Full
14,University of Derby,"Derby College, Derby College of Art and Technology, Derbyshire College of Higher Education","Derby, England, UK52°56′20″N 1°29′47″W﻿ / ﻿52.938824°N 1.49648°W﻿ / 52.938824; -1.49648Coordinates: 52°56′20″N 1°29′47″W﻿ / ﻿52.938824°N 1.49648°W﻿ / 52.938824; -1.49648","19,145 HE (2018/19)[2]","14,775 (2018/19)[2]","4,370 (2018/19)[2]",https://en.wikipedia.org/wiki/University_of_Derby,Derby,1992 (1977),"19,145","£9,250",Full
15,University of Brighton,,"Brighton, Eastbourne, England","20,470 (2018/19)[3]","16,760 (2018/19)[3]","3,705 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Brighton,"Brighton, Eastbourne, Hastings",1992 (1859),"20,470","£9,250",Full
16,University of Central Lancashire,"Harris Art College, Preston Polytechnic, Lancashire Polytechnic","Preston (Main)BurnleyCyprusWestlakes, CumbriaCoordinates: 53°45′47″N 2°42′27″W﻿ / ﻿53.763021°N 2.7074°W﻿ / 53.763021; -2.7074","23,160 (2018/19)[2]","17,505 (2018/19)[2]","5,655 (2018/19)[2]",https://en.wikipedia.org/wiki/University_of_Central_Lancashire,Preston,1992 (1828),"23,160","£9,250",Full
17,Canterbury Christ Church University,,"Canterbury, Tunbridge Wells, Chatham, Kent, UK51°16′47″N 1°5′21″E﻿ / ﻿51.27972°N 1.08917°E﻿ / 51.27972; 1.08917Coordinates: 51°16′47″N 1°5′21″E﻿ / ﻿51.27972°N 1.08917°E﻿ / 51.27972; 1.08917","14,175 (2018/19)[3]","11,300 (2018/19)[3]","2,870 (2018/19)[3]",https://en.wikipedia.org/wiki/Canterbury_Christ_Church_University,"Broadstairs, Canterbury, Medway, Tunbridge Wells",2005 (1977),"14,175","£9,250",Full
18,University of Buckingham,,"Buckingham, England51°59′45″N 0°59′31″W﻿ / ﻿51.99583°N 0.99194°W﻿ / 51.99583; -0.99194Coordinates: 51°59′45″N 0°59′31″W﻿ / ﻿51.99583°N 0.99194°W﻿ / 51.99583; -0.99194","3,070 (2018/19)[3]","1,525 (2018/19)[3]","1,545 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Buckingham,Buckingham,1983 (1973),"3,070","£12,444 (private)",Full
19,Edge Hill University,Edge Hill College (1885–2006),"Ormskirk, Lancashire, England","13,835 (2018/19)[1]","10,410 (2018/19)[1]","3,420 (2018/19)[1]",https://en.wikipedia.org/wiki/Edge_Hill_University,Ormskirk,2006 (1959),"13,835","£9,250",Full
20,University of Greenwich,,"London, England, United Kingdom51°29′00″N 0°00′22″W﻿ / ﻿51.483372°N 0.006075°W﻿ / 51.483372; -0.006075","18,945 (2018/19)[2]","14,430 (2018/19)[2]","4,510 (2018/19)[2]",https://en.wikipedia.org/wiki/University_of_Greenwich,"Chatham, Greenwich (London)",1992 (1890),"18,945","£9,250",Full
21,Bath Spa University,,"Bath, Somerset, England51°22′32″N 2°26′18″W﻿ / ﻿51.37556°N 2.43833°W﻿ / 51.37556; -2.43833Coordinates: 51°22′32″N 2°26′18″W﻿ / ﻿51.37556°N 2.43833°W﻿ / 51.37556; -2.43833","7,770 (2018/19)[2]","6,060 (2018/19)[2]","1,710 (2018/19)[2]",https://en.wikipedia.org/wiki/Bath_Spa_University,Bath,2005 (1852),"7,770","£9,250",Full
22,Brunel University London,,"Uxbridge, England, UK51°31′58″N 0°28′22″W﻿ / ﻿51.53278°N 0.47278°W﻿ / 51.53278; -0.47278Coordinates: 51°31′58″N 0°28′22″W﻿ / ﻿51.53278°N 0.47278°W﻿ / 51.53278; -0.47278","14,790 (2018/19)[2]","11,125 (2018/19)[2]","3,665 (2018/19)[2]",https://en.wikipedia.org/wiki/Brunel_University_London,Uxbridge (London),1966,"14,790","£9,250",Full
23,De Montfort University,Leicester School of Art  Leicester Colleges of Art and Technology  Leicester Polytechnic,"Leicester, England","25,810 (2018/19)[2]","21,750 (2018/19)[2]","4,060 (2018/19)[2]",https://en.wikipedia.org/wiki/De_Montfort_University,Leicester,1992 (1969),"25,810","£9,250",Full
24,University of East London,,"London, United Kingdom51°30′28″N 0°3′49″E﻿ / ﻿51.50778°N 0.06361°E﻿ / 51.50778; 0.06361Coordinates: 51°30′28″N 0°3′49″E﻿ / ﻿51.50778°N 0.06361°E﻿ / 51.50778; 0.06361","13,395 (2018/19)[1]","9,750 (2018/19)[1]","3,645 (2018/19)[1]",https://en.wikipedia.org/wiki/University_of_East_London,Newham (London),1992 (1970),"13,395","£9,250",Full
25,Arts University Bournemouth,"Arts University College at Bournemouth (AUCB), Arts Institute at Bournemouth (AIB), Bournemouth and Poole College of Art and Design","Poole, Dorset, United Kingdom50°44′29.2″N 1°53′52.1″W﻿ / ﻿50.741444°N 1.897806°W﻿ / 50.741444; -1.897806","3,385 (2018/19)[7]","3,240 (2018/19)[7]",150 (2018/19)[7],https://en.wikipedia.org/wiki/Arts_University_Bournemouth,Poole,2012 (1885),"3,385","£9,250",Taught
26,Harper Adams University,,"Edgmond, Shropshire, TF10 8NB, United Kingdom52°46′47″N 2°25′39″W﻿ / ﻿52.779651°N 2.427517°W﻿ / 52.779651; -2.427517","5,375 (2018/19)[1]","4,740 (2018/19)[1]",635 (2018/19)[1],https://en.wikipedia.org/wiki/Harper_Adams_University,Edgmond,2012 (1901),"5,375","£9,250",Full
27,Cranfield University,Cranfield Institute of TechnologyCollege of Aeronautics,"Cranfield, BedfordshireShrivenham, OxfordshireEngland","4,490 (2018/19)(all postgraduates)",,,https://en.wikipedia.org/wiki/Cranfield_University,"Cranfield, Shrivenham",1993 (1946),"4,490",p/g only,Full
28,London Institute of Banking & Finance[Note 6],,"London, United Kingdom",,,,https://en.wikipedia.org/wiki/The_London_Institute_of_Banking_%26_Finance,London,– (1879),-,- (private),Taught
29,University of Law,The College of Law(1962–2012),"Birmingham, Bristol, Chester, Guildford, Leeds, London, Manchester, Nottingham, and Hong Kong","8,000 (approximate)","1,000 (approximate)","7,000 (approximate)",https://en.wikipedia.org/wiki/University_of_Law,"Birmingham, Bristol, Chester, Guildford, Leeds, London, Nottingham",2012,"16,000[citation needed]","£6,165-9,000[10]",Taught
30,Liverpool Hope University,"Notre Dame College, Saint Katharine's College, Christ's College, Liverpool Institute of Higher Education, Liverpool Hope University College","Liverpool, England","5,100 (2018/19)[2]","3,865 (2018/19)[2]","1,235 (2018/19)[2]",https://en.wikipedia.org/wiki/Liverpool_Hope_University,Liverpool,2005 (1844),"5,100","£9,250",Full
31,Writtle University College,,None,750 HE (2018/19)[1],,,https://en.wikipedia.org/wiki/Writtle_University_College,Chelmsford,– (1893),750,"£9,250",Taught
